alcaldia,localidad,sexo,rango_edad,poblacion
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,c) 10 a 14 años,25
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,d) 15 a 19 años,30
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,e) 20 a 24 años,28
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,f) 25 a 29 años,24
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,g) 30 a 34 años,12
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,h) 35 a 39 años,15
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,i) 40 a 44 años,20
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,j) 45 a 49 años,25
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,k) 50 a 54 años,15
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,l) 55 a 59 años,7
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,m) 60 a 64 años,4
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,n) 65 a 69 años,4
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,o) 70 a 74 años,2
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,p) 75 a 79 años,1
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,q) 80 a 84 años,0
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,r) 85 años y más,1
CUAJIMALPA DE MORELOS,Los Aguacates,Mujer,a) 0 a 4 años,30
CUAJIMALPA DE MORELOS,Los Aguacates,Mujer,b) 5 a 9 años,35
CUAJIMALPA DE MORELOS,Los Aguacates,Mujer,c) 10 a 14 años,24
CUAJIMALPA DE MORELOS,Los Aguacates,Mujer,d) 15 a 19 años,28
CUAJIMALPA DE MORELOS,Los Aguacates,Mujer,e) 20 a 24 años,29
CUAJIMALPA DE MORELOS,Los Aguacates,Mujer,f) 25 a 29 años,13
CUAJIMALPA DE MORELOS,Los Aguacates,Mujer,g) 30 a 34 años,16
CUAJIMALPA DE MORELOS,Los Aguacates,Mujer,h) 35 a 39 años,22
